Descrição;Categoria
Aluguel;Essenciais
Condomínio;Essenciais
Tanomoshi;Financeiro
Mobilia;Casa
Taiko;Lazer e Entretenimento
Gás ;Essenciais
Salário JV;Receitas
Despesas Mamãe;Outros Gastos
Mercado;Mercado
Minha parte no tanomoshi;Investimentos e Poupança
Ônibus JV;Transporte
Minha previdência;Investimentos e Poupança
Vivo celulares;Essenciais
Ônibus Marilia;Transporte
Tim Marilia e João;Essenciais
Remédio da momoi ;Mercado
CC Marilia;Outros Gastos
Cartão de crédito;Outros Gastos
AC 3;Lazer e Entretenimento
Cinema com o Pedro;Lazer e Entretenimento
Pipoca do Cinema;Lazer e Entretenimento
Lanchonete x;Delivery
Enxoval Preçolandia;Casa
Enxoval Carrefour;Casa
Enxoval Leroy;Casa
Enxoval Multi coisas;Casa
Enxoval Osasco 1;Casa
Enxoval Osasco 2;Casa
Peixe;Pets
Porque sim com mamae;Delivery
PF do sábado de mudança;Delivery
Humble Bundle;Lazer e Entretenimento
Gelo;Mercado
Esfiha 10/03/2014;Delivery
Dinheiro para marilia fazer mercado 11/03/2014;Mercado
Pessoal da fatec em casa 14/03/2014;Delivery
Marilia com os pais dela 15/03/2014;Delivery
Conserto da geladeira ;Casa
Monitor;Casa
Taxi da despedida do masa;Transporte
Dinheiro para Bunico da Marilia;Transporte
Eletropaulo;Essenciais
Vivo;Essenciais
Salário Marilia;Receitas
Ccredito de março;Outros Gastos
Limpador de pelinhos da marilia;Despesas Pessoais
Coisas para arrumar a casa;Casa
Torneira extra;Casa
Empréstimo;Financeiro
saque;Outros Gastos
Netflix;Lazer e Entretenimento
Boneca;Despesas Pessoais
Emprestimo;Financeiro
Fatec;Educação
Sombra momoi;Despesas Pessoais
Pizza murillo;Delivery
Churras no shiva;Delivery
Ancora;Mercado
Pastel Ricardo Tomimura;Delivery
Vestido kawaii momoi style;Despesas Pessoais
Valter Barros Decor;Casa
Lanchito na escola;Delivery
Master;Mercado
Dinheiro momoi;Outros Gastos
Cobasi;Pets
Jaber;Delivery
Bunico;Transporte
Mercado municipal ;Delivery
Queijo parmesão;Mercado
Coisinhas de costura da momoi;Despesas Pessoais
Rolinho da dona marlene;Despesas Pessoais
Mercado japonês;Mercado
Hime ya;Despesas Pessoais
Super mercado;Mercado
Almoço;Delivery
Almoço ;Delivery
Bilhete único ;Transporte
Terço de férias/Décimo terceiro;Receitas
Subway 27/04/2014;Delivery
Pizza com a mamãe;Delivery
Amigo chocolate;Despesas Pessoais
Picanha Libercon;Delivery
Humble Bundle HQ;Lazer e Entretenimento
McDonalds Raijin;Delivery
Salgado fatec;Delivery
Saldo do cartão de crédito de maio;Outros Gastos
Figurinhas momoi;Lazer e Entretenimento
Pizza 9/5/14;Delivery
Tanka;Delivery
Conserto da maquina;Casa
Subway 15/05/2014;Delivery
Moto G;Despesas Pessoais
Capinha do celular;Despesas Pessoais
Esfiha 19/05/2014;Delivery
Atari Bundle;Lazer e Entretenimento
Bike sampa;Transporte
Dark Souls;Lazer e Entretenimento
Ear Muffs;Despesas Pessoais
Cartão internacional;Outros Gastos
Acerto cartão de crédito;Outros Gastos
Rodizio de petisco;Delivery
Pizza 13-06-2014;Delivery
Saldo negativo Marilia;Outros Gastos
Acertar a diferença de saldo para bater a conta;Outros Gastos
McDonalds momoi;Delivery
Yoshi;Delivery
Armarinhos fernando;Despesas Pessoais
Bachis Raijin;Despesas Pessoais
Banquinho de madeira;Casa
Butox;Mercado
Microfone;Despesas Pessoais
Jogos de Xbox;Lazer e Entretenimento
Material elétrico;Casa
Mouse novo;Despesas Pessoais
Paçoca;Mercado
Outros;Outros Gastos
Pastel no débito no começo do mês ;Delivery
Juros empréstimos adiantamento;Financeiro
Nelson;Outros Gastos
Empréstimo mamãe;Financeiro
Formatura;Educação
Katia;Outros Gastos
Catho;Educação
Catho seu mario;Educação
Carregar cartão meu e da marilia por fora;Transporte
Nota paulista;Receitas
CC;Outros Gastos
WK;Delivery
Yuzu;Delivery
Doce;Delivery
Encargos;Financeiro
Remédios;Mercado
Empréstimo errado;Financeiro
Entrada X;Receitas
Salário Marilia 15;Receitas
Vivo Fixo;Essenciais
Seguro de vida;Saúde
Vivo Celulares;Essenciais
Residual dezembro;Outros Gastos
Izakaya;Delivery
Espelho;Casa
Mangá;Lazer e Entretenimento
Sorvete;Delivery
Taipei mamae;Delivery
Amendoim;Mercado
Pizza;Delivery
Almoço esqueci a marmita;Delivery
Expresso brigadeiro;Delivery
Coxinha;Delivery
Celular momoi;Despesas Pessoais
Anuidade diferenciada;Financeiro
C&A;Despesas Pessoais
Pastel;Delivery
Tênis novo;Despesas Pessoais
Sabor do momento ?;Delivery
Flogoral;Mercado
Cobasi Osasco;Pets
Amigo secreto Onóis;Despesas Pessoais
Ração dos bichanos;Pets
IOF;Financeiro
Recarga Tim;Essenciais
Momoi - Aspirador de pó;Casa
GTA V;Lazer e Entretenimento
Esfiha Murillo e Karine;Delivery
Marukai;Mercado
Mariany e Rações;Pets
McDonalds;Delivery
Café da manhã da dedetização;Delivery
Coxinhas;Delivery
Pulgas;Pets
Lanche Fatec;Delivery
Remédio do dente;Mercado
Stadium cafe?;Delivery
Almoço Momoi;Delivery
Taxi para o trabalho;Transporte
JaponÊs mamãe;Delivery
Lanche X;Delivery
Momoi - Empréstimo;Financeiro
Praia;Lazer e Entretenimento
Taxi;Transporte
Condomínio atrasado;Essenciais
Besiege;Lazer e Entretenimento
Gatos;Pets
Tela das janelas;Casa
Saldo de empréstimos;Financeiro
Boliche relâmpago;Lazer e Entretenimento
Bilhete único;Transporte
Crédito BU;Transporte
Esfiha;Delivery
Almoço momoi;Delivery
Chocolates Raijin;Despesas Pessoais
Extra augusta;Mercado
Subway Augusta;Delivery
Bunico Marilia;Transporte
Conta de luz no CC;Essenciais
Cinema com o Jão;Lazer e Entretenimento
The Fifties;Delivery
Mexicaníssimo;Delivery
Tempurá para o Bruno;Delivery
Arco violino Marilia;Despesas Pessoais
Adiantamento do vale;Receitas
Graninha dosrole;Lazer e Entretenimento
Préstimos;Financeiro
Multas de atraso CC;Financeiro
Skyrim;Lazer e Entretenimento
Brinquedos da momoi;Lazer e Entretenimento
Lente Marilia;Despesas Pessoais
Torneira e máquina de lavar;Casa
Carga Bunico João;Transporte
Café da manhã marilia;Delivery
Taipei;Delivery
Salgados Fatec;Delivery
Mercado no débito;Mercado
Daiso;Casa
Burger King;Delivery
Museu da língua portuguesa;Lazer e Entretenimento
Lanchonete;Delivery
Almoço sábado fatec;Delivery
Mitsue;Outros Gastos
Adiantamento da Marilia;Receitas
Diferença estimada entre a conta e a planilha;Financeiro
Capinha momoi;Despesas Pessoais
Cosplay;Despesas Pessoais
Cinema + pizza;Lazer e Entretenimento
Batom momoi;Despesas Pessoais
Chocolate;Mercado
Vivo Fibra;Essenciais
Momoi - Anuidade Marilia;Financeiro
Vale;Receitas
Empréstimo mora sem noção;Financeiro
Comida solo sagrado;Delivery
Fone momoi;Despesas Pessoais
Amor aos pedaços;Delivery
Almoço shops;Delivery
Saque Mimi party;Lazer e Entretenimento
Album Jurassic WOrld;Lazer e Entretenimento
X;Outros Gastos
Bella July;Delivery
Sifão;Casa
Poupança;Investimentos e Poupança
BK momoi;Delivery
Quem disse berenice;Despesas Pessoais
Figurinhas e mangá;Despesas Pessoais
Comidinhas;Delivery
Mangas;Lazer e Entretenimento
13º João;Receitas
Capacetes;Lazer e Entretenimento
Processador de alimentos;Casa
Taxis;Transporte
Remédio;Mercado
Loungerie;Despesas Pessoais
04 - Luz;Essenciais
04 - Luz Deb Aut C6;Essenciais
07 - Oi;Essenciais
07 - Oi Deb Aut C6;Essenciais
10 - Financiamento Itau;Essenciais
10 - Luz;Essenciais
12 - Netflix;Lazer e Entretenimento
13;Receitas
13 Marília;Receitas
13 Momoi;Receitas
13 salario;Receitas
13º;Receitas
13º Marilia;Receitas
15 - Condomínio;Essenciais
15 - Oi;Essenciais
15 - Tarifa Bradesco;Financeiro
17 - Vivo;Essenciais
20 - Gás;Essenciais
2028 Extra Facil Azeve;Mercado
21 - Telefone/Internet;Essenciais
21 - Vivo;Essenciais
21 - Vivo Deb Aut C6;Essenciais
25 - Tim;Essenciais
26 - Luz;Essenciais
2Produros 1/6;Despesas Pessoais
2Produros 2/6;Despesas Pessoais
